below mode 1,below mode 1_cov,mode 1 ridge,mode 1 ridge_cov,mode 1 anti-res,mode 1 anti-res_cov,valley 1-2,valley 1-2_cov,mode 2 ridge,mode 2 ridge_cov,mode 2 flank,mode 2 flank_cov,above mode 2,above mode 2_cov,all,frac3dB,frac6dB,cov_frac,sig,sig_frac3dB,sig_bins,nrmse_cplx,phase_deg,rec,n,ell,k1,f_res
0.12492527421530877,0.4324817518248175,0.09193312376549054,1.0,0.28403223261217503,1.0,0.5239552026512712,0.5032822757111597,,0.0,,0.0,,0.0,0.2269112769128061,0.9660011638837906,0.9874770580598953,0.251,0.08709854166663933,0.9955524344569289,144,2.8721963703110025,0.8934133947947381,eb_gp,12,30.0,353.9351808246203,292842.89892128325
0.12604537041740047,0.4324817518248175,0.101029082092413,1.0,0.2887492053743187,1.0,0.4252748149809886,0.5032822757111597,,0.0,,0.0,,0.0,0.22597932677716526,0.9638860289180358,0.9868279690227852,0.251,0.09764221652922295,0.975187265917603,144,2.425575290621347,0.7944448652838811,gp@eb_gp,12,30.0,,
0.12461411414564576,0.4324817518248175,0.08410632700361315,1.0,0.2722471467218142,1.0,0.493811830387864,0.5032822757111597,,0.0,,0.0,,0.0,0.2193662023850883,0.9689267620874527,0.9883306281048645,0.251,0.08420857970910783,0.9954561042524005,144,2.574572859585677,0.8207167052206975,eb_gp,20,30.0,350.2368074536794,292844.65517793497
0.1250033429370042,0.4324817518248175,0.10600746167996983,1.0,0.2776753437540367,1.0,0.40531981221488556,0.5032822757111597,,0.0,,0.0,,0.0,0.21824733139095895,0.964561507058187,0.9867935664748414,0.251,0.10178024106032454,0.9768518518518519,144,2.358740788894039,0.7580585629843447,gp@eb_gp,20,30.0,,
0.11581702269557032,0.4324817518248175,0.08081714105242624,1.0,0.2551106823951563,1.0,0.4634141156558542,0.5032822757111597,,0.0,,0.0,,0.0,0.20385129674185304,0.969025307221817,0.9885808877167387,0.251,0.07918583655464766,0.996576682316119,144,2.31703763158448,0.787287364397868,eb_gp,30,30.0,319.2095743068214,292843.9034528649
0.1181413271267803,0.4324817518248175,0.09990885710229899,1.0,0.26464113439842374,1.0,0.3978549872396816,0.5032822757111597,,0.0,,0.0,,0.0,0.20627635282066872,0.9653779249200382,0.9875848717804837,0.251,0.09359960884808231,0.9798513302034428,144,2.144052935999152,0.7305461276703119,gp@eb_gp,30,30.0,,
0.14490883940311772,0.4343065693430657,0.10048574860858667,1.0,0.2787603797069571,1.0,0.502671498480661,0.5010940919037199,,0.0,,0.0,,0.0,0.23404699695083306,0.9638010458167331,0.9868857901726428,0.251,0.09415153090523198,0.9925491898148148,144,4.076970659497828,1.061206544016354,fem_gp,5,60.0,1310.4350191772025,292798.9985773408
0.15202271800680373,0.4343065693430657,0.12677420914851562,1.0,0.3331862574916924,1.0,0.4738169261974178,0.5010940919037199,,0.0,,0.0,,0.0,0.26571040999125484,0.9559366699867198,0.9830988545816733,0.251,0.12516001932892043,0.9658564814814815,144,2.808595955017462,0.8526615328499999,gp@fem_gp,5,30.0,,
0.13393122420351194,0.4343065693430657,0.08729135504482713,1.0,0.28305504151767746,1.0,0.47002604199219417,0.5010940919037199,,0.0,,0.0,,0.0,0.2245467780215283,0.9638813168379116,0.987072761585238,0.251,0.0850779373236983,0.993421052631579,144,3.800151237782936,1.018965276246914,fem_gp,6,60.0,1289.8753090415184,292798.927435073
0.15767257903429688,0.4343065693430657,0.14550863485922616,1.0,0.32923384636456443,1.0,0.48080619434048316,0.5010940919037199,,0.0,,0.0,,0.0,0.26587132609887754,0.9581044244076327,0.9849024952820298,0.251,0.14198307103278954,0.9725877192982456,144,2.778634068609151,0.8677852579139116,gp@fem_gp,6,30.0,,
0.1285852502267859,0.4343065693430657,0.09564251742020206,1.0,0.27696304695714563,1.0,0.4448170215837116,0.5010940919037199,,0.0,,0.0,,0.0,0.2212530518553954,0.9671100544060318,0.9887011095403333,0.251,0.0892979394475584,0.9947729988052568,144,3.1448618516981672,0.9251150660349607,fem_gp,8,30.0,1254.212308578209,292810.8954816827
0.13800498164467417,0.4343065693430657,0.11938315302848836,1.0,0.3076166379832451,1.0,0.43649474053771076,0.5010940919037199,,0.0,,0.0,,0.0,0.24261424875854776,0.9626547573148267,0.9867412072141541,0.251,0.1177503379198627,0.9746117084826762,144,2.685679204935908,0.8252105173587129,gp@fem_gp,8,30.0,,
0.12336432702317307,0.4343065693430657,0.09196161289857274,1.0,0.2654807061202914,1.0,0.4320571243583652,0.5010940919037199,,0.0,,0.0,,0.0,0.2100338100712183,0.9676462688571557,0.9880813823358252,0.251,0.08632760415619067,0.9955524344569289,144,2.897220568374415,0.8765243104210253,fem_gp,12,30.0,1247.4399445802746,292800.76447035477
