arm,k1,f_res,g,gain_a,gain_b,f2_pred,m1,m2,anti,all,n,f2_err_kHz,f2_over_f1,gain_ratio_dB,ell
"A+B, per-band",997.9163745964125,293402.82731518336,18028.473418406415,20.722759702337104,19.54326061331118,902515.62,1.9352408277624602,1.231895698975878,24.41828219209686,3.166912206411518,10,0.0,3.076029049408194,-10.244998915477426,
"A+B, per-band +GP",997.9163745964125,293402.82731518336,18028.473418406415,20.722759702337104,19.54326061331118,902515.62,0.17373182386732267,0.25110388220210994,8.625240422458717,0.4623908873057575,10,0.0,3.076029049408194,-10.244998915477426,8.0
A only,350.05491170156773,292847.5196935255,10563.308472077997,20.498826489875686,,724453.12,0.2693488179464588,20.161930482284944,22.22275475413834,9.36781021005384,12,-178.0625,2.4738236497893644,,
"A+B, 1 gain",1556.7870139917404,293190.1686556354,19999.90433458271,20.99283063996242,,923078.12,2.45038267630264,4.710725690471843,26.66504073540025,9.937302049472448,12,20.5625,3.148393836780371,,
"A+B, per-band",1000.3074029582847,293353.7673492354,18385.85716571232,20.741584221476163,19.56427808902377,902515.62,1.908932220905081,1.0772152455144473,24.581705012909758,3.1352995939012236,12,0.0,3.076543479073722,-10.22595113669867,
"A+B, per-band +GP",1000.3074029582847,293353.7673492354,18385.85716571232,20.741584221476163,19.56427808902377,902078.12,0.18542883007673677,0.1940784981712669,6.855648105928939,0.39940499027984055,12,-0.4375,3.075052105692179,-10.22595113669867,8.0
A only,369.5717319879473,292855.1663643205,11944.97214117858,20.551087198741307,,736265.62,0.3304677771114587,18.90222945558133,23.18757561601761,9.634098290922658,16,-166.25,2.5140946944540628,,
"A+B, 1 gain",1579.5870326011511,293156.8788783822,19999.90433458271,21.037126977334303,,923515.62,2.6915113144294787,4.6465145943269,27.14341642809897,10.261213809912203,16,21.0,3.150243731388359,,
"A+B, per-band",1000.1807459748675,293343.81102602143,19999.90433458271,20.796805967566375,19.597564892659797,902515.62,2.016126996412426,0.926670902134616,25.169898347207003,3.0525768723617936,16,0.0,3.0766478994163653,-10.41647562607302,
"A+B, per-band +GP",1000.1807459748675,293343.81102602143,19999.90433458271,20.796805967566375,19.597564892659797,902515.62,0.1271145732235518,0.16490691614532008,5.805922719612142,0.3237824258812252,16,0.0,3.0766478994163653,-10.41647562607302,8.0
A only,339.20364824370404,292834.58723775524,10614.859602326196,20.49288726971556,,724453.12,0.2467331788498789,20.663223660853767,22.247239418185988,9.320568507543886,20,-178.0625,2.473932901279211,,
"A+B, 1 gain",1571.1367499124544,293157.239763504,19999.90433458271,21.035441994472635,,923515.62,2.7085628232059715,4.658741370164666,27.095677887172762,10.256664373105535,20,21.0,3.1502398533463443,,
"A+B, per-band",1000.1770770049786,293352.71113784146,18803.86452347754,20.77739255979532,19.60184101014944,902515.62,2.013863565341493,0.8636029006254492,24.937263946839437,3.0826448428043314,20,0.0,3.076554556115635,-10.210711024080457,
"A+B, per-band +GP",1000.1770770049786,293352.71113784146,18803.86452347754,20.77739255979532,19.60184101014944,902515.62,0.12875180249400692,0.1489912123813391,5.659771105631717,0.3095257025224658,20,0.0,3.076554556115635,-10.210711024080457,8.0
A only,318.378987745483,292836.0924729323,10189.791591926352,20.45900029266818,,713078.12,0.35793745136596755,21.851460094557396,22.8793039893157,9.153777374241667,30,-189.4375,2.435075929262073,,
"A+B, 1 gain",1578.620034595615,293121.1776070061,19999.90433458271,21.0520626638404,,923515.62,2.789517868273207,4.625828080908011,27.02088221005674,10.368440497692013,30,21.0,3.1506274215306864,,
"A+B, per-band",1000.5962252420726,293325.64566874667,19599.93720031349,20.79616188427459,19.620565227141306,902515.62,1.9647783226324373,0.807436301481046,24.783994233634083,3.0640367364626786,30,0.0,3.0768384330745255,-10.211102822737883,
"A+B, per-band +GP",1000.5962252420726,293325.64566874667,19599.93720031349,20.79616188427459,19.620565227141306,902515.62,0.1299522365875806,0.1318328784212386,4.7827103967663405,0.2892251612515805,30,0.0,3.0768384330745255,-10.211102822737883,8.0
