IGOR
WAVES	Frequency	Phase	Amp
BEGIN
	301955.34	172.27023	0.00043392181
	302152.19	171.42862	0.00041484833
	302349.03	171.1823	0.00043511391
	302545.88	174.97092	0.00044822693
	302742.72	169.94673	0.000436306
	302939.56	172.49998	0.00042915344
	303136.41	173.69543	0.00042319298
	303333.25	171.86989	0.00043749809
	303530.09	173.11279	0.00042676926
	303726.91	171.0452	0.00039815903
	303923.75	170.69792	0.0004196167
	304120.59	171.06044	0.00042915344
	304317.44	171.26544	0.00044703484
	304514.28	174.06639	0.00042557716
	304711.12	173.97441	0.00043034554
	304907.97	173.74594	0.00043749809
	305104.81	173.12627	0.00043749809
	305301.66	170.6171	0.00042319298
	305498.5	172.42705	0.00041604042
	305695.31	174.7625	0.00043034554
	305892.16	172.56178	0.00043272972
	306089	172.53369	0.00042200089
	306285.84	168.93999	0.00042796135
	306482.69	171.97464	0.00046014786
	306679.53	172.72173	0.00044107437
	306876.38	173.55324	0.00042438507
	307073.22	171.57883	0.00043034554
	307270.06	172.66255	0.00043869019
	307466.88	171.84735	0.00042796135
	307663.72	174.68546	0.00041127205
	307860.56	172.28333	0.00044345856
	308057.41	172.1689	0.0004196167
	308254.25	172.85487	0.00042080879
	308451.09	173.85097	0.00043392181
	308647.94	176.27209	0.00042080879
	308844.78	174.2095	0.00042438507
	309041.62	173.05084	0.00043272972
	309238.47	174.82021	0.00042200089
	309435.28	169.9827	0.00042438507
	309632.12	170.79738	0.00043153763
	309828.97	172.87498	0.00042200089
	310025.81	173.33533	0.00044107437
	310222.66	175.26256	0.00043272972
	310419.5	174.63435	0.00043272972
	310616.34	172.67148	0.00045776367
	310813.19	172.25528	0.00045061111
	311010.03	172.32103	0.00042796135
	311206.88	173.67679	0.00044345856
	311403.69	174.73341	0.00042796135
	311600.53	175.75153	0.00041723251
	311797.38	176.16554	0.00044465065
	311994.22	174.77695	0.00043153763
	312191.06	173.60825	0.00043869019
	312387.91	172.93457	0.00042557716
	312584.75	172.79916	0.00044703484
	312781.59	173.94353	0.00045180321
	312978.44	172.34482	0.00044703484
	313175.25	175.43819	0.00044941902
	313372.09	171.93306	0.00045657158
	313568.94	172.28333	0.00044345856
	313765.78	173.991	0.00043153763
	313962.62	174.52919	0.00042438507
	314159.47	175.58963	0.00044941902
	314356.31	174.44276	0.00044226646
	314553.16	177.16898	0.00043392181
	314750	175.33943	0.00043988228
	314946.84	172.73827	0.00043272972
	315143.66	174.91376	0.00045657158
	315340.5	175.3965	0.00046014786
	315537.34	174.07825	0.00045061111
	315734.19	174.02222	0.00045776367
	315931.03	175.48192	0.00043869019
	316127.88	175.36452	0.00044226646
	316324.72	176.48088	0.00044584274
	316521.56	173.51691	0.00042200089
	316718.41	173.06563	0.00044345856
	316915.22	174.06258	0.00044941902
	317112.06	174.24304	0.00043869019
	317308.91	174.67819	0.000436306
	317505.75	176.62492	0.00046491623
	317702.59	175.49414	0.00043988228
	317899.44	174.3824	0.00043749809
	318096.28	173.25441	0.00044584274
	318293.12	178.10138	0.00043153763
	318489.97	177.17673	0.00043511391
	318686.81	176.67784	0.00045180321
	318883.62	174.5453	0.00045061111
	319080.47	177.56679	0.00042080879
	319277.31	176.27869	0.00043988228
	319474.16	175.05875	0.00041484833
	319671	173.37102	0.00044345856
	319867.84	173.28105	0.00043749809
	320064.69	173.1886	0.00043153763
	320261.53	174.92697	0.00045776367
	320458.38	172.19981	0.00043869019
	320655.19	174.45763	0.00044345856
	320852.03	175.97173	0.00042319298
	321048.88	176.15526	0.00044345856
	321245.72	175.3268	0.00043869019
	321442.56	176.26535	0.00045657158
	321639.41	176.83685	0.0004529953
	321836.25	174.63026	0.00045776367
	322033.09	176.35744	0.00044941902
	322229.94	174.31911	0.00045657158
	322426.78	176.16467	0.00042676926
	322623.59	174.91698	0.00044345856
	322820.44	173.36748	0.00046372414
	323017.28	175.64729	0.00045537949
	323214.12	176.56012	0.000436306
	323410.97	178.65385	0.00045657158
	323607.81	174.36505	0.00044822693
	323804.66	175.2868	0.00044941902
	324001.5	172.99319	0.00042915344
	324198.34	174.64417	0.00045895576
	324395.19	175.74115	0.00044941902
	324592	174.60472	0.00043034554
	324788.84	172.29588	0.0004529953
	324985.69	173.74388	0.00044822693
	325182.53	172.16179	0.00046253204
	325379.38	176.46202	0.00044345856
	325576.22	175.34839	0.00045537949
	325773.06	172.56859	0.00044226646
	325969.91	172.49617	0.00044703484
	326166.75	175.56732	0.00046253204
	326363.56	176.15526	0.00044345856
	326560.41	174.55269	0.00046372414
	326757.25	171.8069	0.00045895576
	326954.09	175.55736	0.00047683716
	327150.94	176.38609	0.0004529953
	327347.78	175.05696	0.00044226646
	327544.62	173.0616	0.0004529953
	327741.47	176.21609	0.00045061111
	327938.31	173.5271	0.00045418739
	328135.16	172.46492	0.00045418739
	328331.97	174.6394	0.00044584274
	328528.81	170.81337	0.00044703484
	328725.66	175.37257	0.00045776367
	328922.5	174.67175	0.00046133995
	329119.34	176.15753	0.00047922134
	329316.19	176.22604	0.00045180321
	329513.03	178.08099	0.00046253204
	329709.88	175.10089	0.00046014786
	329906.72	174.85867	0.00046491623
	330103.53	176.82016	0.00045061111
	330300.38	176.54915	0.00047445297
	330497.22	174.56662	0.00046491623
	330694.06	178.56432	0.00047564507
	330890.91	176.97205	0.00047326088
	331087.75	174.33385	0.00045776367
	331284.59	176.76897	0.00044345856
	331481.44	176.54915	0.00047445297
	331678.28	178.11975	0.00047206879
	331875.12	175.09654	0.00044584274
	332071.94	174.23061	0.00046133995
	332268.78	176.86752	0.00047922134
	332465.62	176.12651	0.00045776367
	332662.47	174.49104	0.00047087669
	332859.31	174.36121	0.00047206879
	333056.16	177.42984	0.00047802925
	333253	174.4631	0.00046849251
	333449.84	177.56638	0.00047683716
	333646.69	175.95551	0.00047206879
	333843.5	175.76898	0.00046849251
	334040.34	177.13042	0.00047564507
	334237.19	176.24142	0.00048995018
	334434.03	175.36842	0.00047206879
	334630.88	175.44363	0.00046491623
	334827.72	176.04509	0.00048279762
	335024.56	177.13759	0.00047683716
	335221.41	173.93944	0.00048518181
	335418.25	175.08493	0.0004863739
	335615.09	177.01704	0.00048041344
	335811.91	176.40573	0.00047445297
	336008.75	178.05379	0.00049114227
	336205.59	178.92915	0.00051021576
	336402.44	175.78865	0.0005030632
	336599.28	176.45021	0.00048041344
	336796.12	178.89828	0.00049591064
	336992.97	176.40573	0.00047445297
	337189.81	177.52238	0.00049591064
	337386.66	175.68658	0.00049114227
	337583.5	178.04907	0.00048995018
	337780.31	178.62296	0.00049591064
	337977.16	176.56909	0.00049710274
	338174	176.63353	0.0004863739
	338370.84	178.73631	0.0004863739
	338567.69	177.65425	0.00049471855
	338764.53	176.4492	0.00049948692
	338961.38	178.6028	0.00048875809
	339158.22	177.70937	0.00050663948
	339355.06	177.28658	0.0005030632
	339551.88	176.99438	0.00049948692
	339748.72	176.73726	0.00050187111
	339945.56	178.3634	0.00050067902
	340142.41	177.91994	0.00049233437
	340339.25	173.85976	0.00048995018
	340536.09	178.18391	0.00048875809
	340732.94	178.42705	0.0005209446
	340929.78	178.14812	0.00051617622
	341126.62	179.35042	0.00052571297
	341323.47	178.04749	0.00052332878
	341520.28	178.21439	0.00049710274
	341717.12	179.45172	0.00049829483
	341913.97	176.53979	0.00051259995
	342110.81	177.56908	0.00050544739
	342307.66	178.85675	0.0005376339
	342504.5	177.71475	0.00050783157
	342701.34	175.85536	0.00049471855
	342898.19	177.49901	0.00051856041
	343095.03	176.64926	0.00050902367
	343291.84	177.92215	0.00052571297
	343488.69	177.2439	0.00054478645
	343685.53	177.76199	0.00051856041
	343882.38	177.60297	0.00051259995
	344079.22	179.36339	0.0005364418
	344276.06	180.4982	0.00054836273
	344472.91	177.77222	0.0005209446
	344669.75	178.08658	0.00053524971
	344866.59	177.46643	0.00053882599
	345063.44	176.24417	0.00054478645
	345260.25	181.54121	0.00053167343
	345457.09	181.02301	0.00053405762
	345653.94	179.75356	0.0005543232
	345850.78	178.88399	0.00055074692
	346047.62	178.00789	0.00054836273
	346244.47	179.14307	0.00055789948
	346441.31	178.73257	0.00053882599
	346638.16	177.91966	0.00055789948
	346835	178.67056	0.00056505203
	347031.84	178.22118	0.00057578087
	347228.66	180.24022	0.00056862831
	347425.5	179.05107	0.00057578087
	347622.34	179.14307	0.00055789948
	347819.19	180.59929	0.0005698204
	348016.03	178.1066	0.00057697296
	348212.88	177.54095	0.00058293343
	348409.72	180	0.00058889389
	348606.56	177.61876	0.00060200691
	348803.41	178.95413	0.0005877018
	349000.22	180.34584	0.00059247017
	349197.06	181.53925	0.0006210804
	349393.91	180	0.00061392784
	349590.75	180.22734	0.00060081482
	349787.59	179.54973	0.00060677528
	349984.44	180.21661	0.00063061714
	350181.28	179.56262	0.00062465668
	350378.12	180.10829	0.00063061714
	350574.97	180.21581	0.00063300133
	350771.81	180.98587	0.00062346458
	350968.62	180.41441	0.00065922737
	351165.47	179.14807	0.00064134598
	351362.31	180	0.00068426132
	351559.16	180.89517	0.00068664551
	351756	180.10016	0.00068187714
	351952.84	181.66737	0.00069618225
	352149.69	180.58963	0.00069499016
	352346.53	183.17448	0.00070929527
